word,frequency,word type, neighborhood density
a,81.36,Content,18
a,18559.22,Function,18
a,13572.40,Content,18
a capella,0.04,Content,0
a cappella,0.04,Content,0
a contrario,0.00,Content,0
a fortiori,0.04,Content,0
a giorno,0.00,Content,0
a jeun,1.45,Content,6
a l'instar,0.26,Function,0
a posteriori,0.05,Content,0
a priori,1.04,Content,0
a priori,0.41,Content,0
aa,0.01,Content,35
ab absurdo,0.00,Content,0
ab initio,0.01,Content,0
ab ovo,0.00,Content,0
abaca,0.01,Content,1
abaissa,4.93,Content,5
abaissai,4.93,Content,5
abaissaient,4.93,Content,5
abaissait,4.93,Content,5
abaissant,0.04,Content,6
abaissant,4.93,Content,6
abaissante,0.04,Content,1
abaisse,0.02,Content,4
abaisse,4.93,Content,4
abaisse-langue,0.04,Content,0
abaissement,0.31,Content,1
abaissent,4.93,Content,4
abaisser,4.93,Content,2
abaissera,4.93,Content,1
abaisserai,4.93,Content,2
abaisseraient,4.93,Content,2
abaisserais,4.93,Content,2
abaisserait,4.93,Content,2
abaisses,4.93,Content,4
abaissez,4.93,Content,5
abaissons,4.93,Content,5
abaissèrent,4.93,Content,1
abaissé,4.93,Content,2
abaissé,0.07,Content,2
abaissée,4.93,Content,2
abaissée,0.07,Content,2
abaissées,4.93,Content,2
abaissées,0.07,Content,2
abaissés,4.93,Content,2
abaissés,0.07,Content,2
abalone,0.01,Content,0
abalones,0.01,Content,0
abandon,4.84,Content,1
abandonna,110.87,Content,4
abandonnai,110.87,Content,4
abandonnaient,110.87,Content,4
abandonnais,110.87,Content,4
abandonnait,110.87,Content,4
abandonnant,110.87,Content,4
abandonnas,110.87,Content,4
abandonne,110.87,Content,0
abandonnent,110.87,Content,0
abandonner,110.87,Content,4
abandonnera,110.87,Content,3
abandonnerai,110.87,Content,3
abandonneraient,110.87,Content,3
abandonnerais,110.87,Content,3
abandonnerait,110.87,Content,3
abandonneras,110.87,Content,3
abandonnerez,110.87,Content,3
abandonneriez,110.87,Content,1
abandonnerions,110.87,Content,1
abandonnerons,110.87,Content,3
abandonneront,110.87,Content,3
abandonnes,110.87,Content,0
abandonneurs,0.00,Content,1
abandonnez,110.87,Content,4
abandonniez,110.87,Content,1
abandonnions,110.87,Content,1
abandonnique,0.00,Content,0
abandonnons,110.87,Content,4
abandonnâmes,110.87,Content,0
abandonnât,110.87,Content,4
abandonnèrent,110.87,Content,1
abandonné,110.87,Content,4
abandonné,8.27,Content,4
abandonnée,110.87,Content,4
abandonnée,8.27,Content,4
abandonnées,110.87,Content,4
abandonnées,8.27,Content,4
abandonnés,110.87,Content,4
abandonnés,8.27,Content,4
abandons,4.84,Content,1
abaque,0.00,Content,6
