word,frequency,word type, neighborhood density
abasourdi,0.40,Content,0
abasourdi,0.55,Content,0
abasourdie,0.40,Content,0
abasourdie,0.55,Content,0
abasourdir,0.55,Content,0
abasourdis,0.40,Content,0
abasourdis,0.55,Content,0
abasourdissant,0.01,Content,0
abasourdissants,0.01,Content,0
abat,0.65,Content,20
abat,43.47,Content,20
abat-jour,0.51,Content,0
abat-son,0.00,Content,3
abatage,0.00,Content,0
abatis,0.00,Content,11
abats,0.65,Content,20
abats,43.47,Content,20
abattage,0.65,Content,0
abattages,0.65,Content,0
abattaient,43.47,Content,10
abattais,43.47,Content,10
abattait,43.47,Content,10
abattant,0.07,Content,9
abattant,43.47,Content,9
abattants,0.07,Content,9
abatte,43.47,Content,6
abattement,0.18,Content,1
abattements,0.18,Content,1
abattent,43.47,Content,6
abattes,43.47,Content,6
abatteur,0.14,Content,3
abatteurs,0.14,Content,3
abattez,43.47,Content,8
abattiez,43.47,Content,3
abattions,43.47,Content,3
abattirent,43.47,Content,4
abattis,0.14,Content,11
abattis,43.47,Content,11
abattit,43.47,Content,11
abattoir,3.16,Content,1
abattoirs,3.16,Content,1
abattons,43.47,Content,12
abattra,43.47,Content,3
abattrai,43.47,Content,3
abattraient,43.47,Content,3
abattrais,43.47,Content,3
abattrait,43.47,Content,3
abattras,43.47,Content,3
abattre,43.47,Content,7
abattrez,43.47,Content,4
abattriez,43.47,Content,0
abattrons,43.47,Content,4
abattront,43.47,Content,4
abattu,43.47,Content,7
abattu,2.51,Content,7
abattu,0.53,Content,7
abattue,43.47,Content,7
abattue,2.51,Content,7
abattues,43.47,Content,7
abattues,2.51,Content,7
abattures,0.00,Content,2
abattus,43.47,Content,7
abattus,2.51,Content,7
abattus,0.53,Content,7
abbatial,0.00,Content,0
abbatiale,0.00,Content,0
abbatiale,0.00,Content,0
abbatiales,0.00,Content,0
abbaye,3.94,Content,2
abbayes,3.94,Content,2
abbesse,4.46,Content,4
abbesses,4.46,Content,4
abbé,4.46,Content,15
abbés,4.46,Content,15
abc,0.04,Content,2
abcès,1.79,Content,5
abdication,0.05,Content,0
abdications,0.05,Content,0
abdiqua,0.47,Content,3
abdiquai,0.47,Content,3
abdiquaient,0.47,Content,3
abdiquais,0.47,Content,3
abdiquait,0.47,Content,3
abdiquant,0.47,Content,3
abdique,0.47,Content,1
abdiquer,0.47,Content,3
abdiquera,0.47,Content,1
abdiquerais,0.47,Content,1
abdiquerait,0.47,Content,1
abdiquez,0.47,Content,3
abdiqué,0.47,Content,3
abdiquée,0.47,Content,3
abdomen,2.76,Content,0
abdominal,2.56,Content,0
abdominale,2.56,Content,0
abdominales,2.56,Content,0
abdominaux,2.56,Content,0
abdominaux,0.09,Content,0
abdos,0.86,Content,1
abducteur,0.01,Content,0
abduction,0.05,Content,0
abeille,9.11,Content,3
abeilles,9.11,Content,3
aber,0.25,Content,15
aberrant,0.84,Content,4
aberrant,0.00,Content,4
aberrante,0.84,Content,2
aberrantes,0.84,Content,2
aberrants,0.84,Content,4
aberration,1.16,Content,0
aberrations,1.16,Content,0
abhorrais,0.27,Content,3
abhorrait,0.27,Content,3
abhorrant,0.27,Content,5
abhorre,0.27,Content,5
abhorrer,0.27,Content,3
abhorrez,0.27,Content,3
abhorré,0.27,Content,3
abhorré,0.01,Content,3
abhorrée,0.27,Content,3
abhorrée,0.01,Content,3
abhorrés,0.27,Content,3
abject,2.19,Content,1
abjecte,2.19,Content,1
abjectement,0.10,Content,0
abjectes,2.19,Content,1
abjection,0.51,Content,1
abjections,0.51,Content,1
abjects,2.19,Content,1
abjurant,1.53,Content,3
abjuration,0.00,Content,1
abjurations,0.00,Content,1
abjure,1.53,Content,1
abjurer,1.53,Content,3
abjurez,1.53,Content,3
abjurons,1.53,Content,2
abjuré,1.53,Content,3
abkhaze,0.00,Content,0
ablatif,0.00,Content,1
ablation,0.45,Content,2
ablations,0.45,Content,2
able,0.68,Content,9
ablette,0.14,Content,1
ablettes,0.14,Content,1
ablution,0.48,Content,1
ablutions,0.48,Content,1
abnégation,0.91,Content,0
aboi,0.78,Content,5
aboie,7.43,Content,5
aboiement,1.79,Content,1
aboiements,1.79,Content,1
aboient,7.43,Content,5
aboiera,7.43,Content,4
aboierait,7.43,Content,4
aboieront,7.43,Content,4
aboies,7.43,Content,5
abois,0.78,Content,5
aboli,0.08,Content,4
aboli,3.08,Content,4
abolie,0.08,Content,4
abolie,3.08,Content,4
abolies,0.08,Content,4
abolies,3.08,Content,4
abolir,3.08,Content,2
abolira,3.08,Content,1
abolirait,3.08,Content,2
aboliras,3.08,Content,1
abolis,0.08,Content,4
abolis,3.08,Content,4
abolissaient,3.08,Content,4
abolissais,3.08,Content,4
abolissait,3.08,Content,4
abolissant,3.08,Content,3
abolissent,3.08,Content,2
abolissions,3.08,Content,0
abolissons,3.08,Content,2
abolit,3.08,Content,4
abolition,0.45,Content,0
abolitionniste,0.03,Content,0
abolitionniste,0.17,Content,0
abolitionnistes,0.03,Content,0
abolitionnistes,0.17,Content,0
abominable,5.39,Content,0
abominablement,0.01,Content,0
abominables,5.39,Content,0
abominaient,0.00,Content,1
abomination,1.94,Content,0
abominations,1.94,Content,0
abomine,0.00,Content,0
abominer,0.00,Content,1
abonda,1.13,Content,3
abondai,1.13,Content,3
abondaient,1.13,Content,3
abondais,1.13,Content,3
abondait,1.13,Content,3
abondamment,0.30,Content,0
abondance,2.76,Content,2
abondant,1.36,Content,3
abondant,1.13,Content,3
abondante,1.36,Content,1
abondantes,1.36,Content,1
abondants,1.36,Content,3
abondassent,1.13,Content,1
abonde,1.13,Content,1
abondent,1.13,Content,1
abonder,1.13,Content,3
abondé,1.13,Content,3
abonnai,1.10,Content,4
abonnant,1.10,Content,1
abonne,1.10,Content,4
abonnement,4.82,Content,1
abonnements,4.82,Content,1
abonner,1.10,Content,4
abonnez,1.10,Content,4
abonnât,1.10,Content,5
abonné,1.10,Content,4
abonné,0.47,Content,4
abonné,0.87,Content,4
abonnée,1.10,Content,4
abonnée,0.47,Content,4
abonnée,0.87,Content,4
abonnées,1.10,Content,4
abonnées,0.87,Content,4
abonnés,1.10,Content,4
abonnés,0.47,Content,4
abonnés,0.87,Content,4
abord,2.22,Content,5
aborda,12.55,Content,5
abordable,0.47,Content,0
abordables,0.47,Content,0
abordage,1.22,Content,1
abordages,1.22,Content,1
abordai,12.55,Content,5
abordaient,12.55,Content,5
abordais,12.55,Content,5
abordait,12.55,Content,5
abordant,12.55,Content,5
aborde,12.55,Content,4
abordent,12.55,Content,4
aborder,12.55,Content,5
abordera,12.55,Content,3
aborderai,12.55,Content,3
aborderaient,12.55,Content,3
aborderais,12.55,Content,3
aborderait,12.55,Content,3
aborderiez,12.55,Content,2
aborderions,12.55,Content,1
aborderons,12.55,Content,3
aborderont,12.55,Content,3
abordes,12.55,Content,4
abordez,12.55,Content,5
abordiez,12.55,Content,2
abordions,12.55,Content,2
abordons,12.55,Content,5
abords,2.22,Content,5
abordâmes,12.55,Content,1
abordèrent,12.55,Content,1
abordé,12.55,Content,5
abordé,0.15,Content,5
abordée,12.55,Content,5
abordées,12.55,Content,5
abordées,0.15,Content,5
abordés,12.55,Content,5
abordés,0.15,Content,5
aborigène,0.17,Content,0
aborigène,0.60,Content,0
aborigènes,0.17,Content,0
aborigènes,0.60,Content,0
abornement,0.00,Content,0
abortif,0.04,Content,1
abortive,0.04,Content,1
abortives,0.04,Content,1
abouchaient,0.00,Content,4
abouchais,0.00,Content,4
abouchait,0.00,Content,4
abouchant,0.00,Content,5
abouchements,0.00,Content,2
aboucher,0.00,Content,5
abouché,0.00,Content,5
abouchée,0.00,Content,5
abouchés,0.00,Content,5
aboule,1.80,Content,2
abouler,1.80,Content,3
aboules,1.80,Content,2
aboulez,1.80,Content,3
aboulie,0.00,Content,4
aboulique,0.00,Content,0
abouliques,0.00,Content,0
abounas,0.00,Content,1
about,5.94,Content,12
aboutait,0.00,Content,6
abouti,0.11,Content,7
abouti,5.34,Content,7
aboutie,0.11,Content,7
aboutie,5.34,Content,7
aboutir,5.34,Content,5
aboutira,5.34,Content,2
aboutirai,5.34,Content,3
aboutiraient,5.34,Content,3
aboutirais,5.34,Content,3
aboutirait,5.34,Content,3
aboutiras,5.34,Content,2
aboutirent,5.34,Content,5
aboutirons,5.34,Content,2
aboutiront,5.34,Content,2
aboutis,0.11,Content,7
aboutis,5.34,Content,7
aboutissaient,5.34,Content,4
aboutissait,5.34,Content,4
aboutissant,5.34,Content,3
aboutissant,0.09,Content,3
aboutissants,0.09,Content,3
aboutisse,5.34,Content,2
aboutissement,0.50,Content,1
aboutissent,5.34,Content,2
aboutissez,5.34,Content,2
aboutissiez,5.34,Content,1
aboutissions,5.34,Content,1
aboutit,5.34,Content,7
aboutonnai,0.00,Content,0
aboutons,0.00,Content,5
aboutîmes,5.34,Content,2
aboya,7.43,Content,5
aboyaient,7.43,Content,6
aboyait,7.43,Content,6
aboyant,0.01,Content,5
aboyant,7.43,Content,5
aboyante,0.01,Content,0
aboyer,7.43,Content,6
aboyeur,0.03,Content,1
aboyeur,0.06,Content,1
aboyeurs,0.03,Content,1
aboyeurs,0.06,Content,1
aboyons,7.43,Content,6
aboyèrent,7.43,Content,1
aboyé,7.43,Content,6
abracadabra,0.98,Content,2
abracadabrant,0.26,Content,2
abracadabrante,0.26,Content,0
abracadabrantes,0.26,Content,0
abracadabrants,0.26,Content,2
abracadabré,0.01,Content,2
abrasif,0.09,Content,1
abrasif,0.15,Content,1
abrasifs,0.09,Content,1
abrasifs,0.15,Content,1
abrasion,0.19,Content,0
abrasive,0.09,Content,1
abrasé,0.00,Content,1
abraxas,0.29,Content,0
abreuva,1.13,Content,4
abreuvage,0.00,Content,0
abreuvaient,1.13,Content,4
abreuvait,1.13,Content,4
abreuvant,1.13,Content,4
abreuve,1.13,Content,0
abreuvent,1.13,Content,0
abreuver,1.13,Content,4
abreuvera,1.13,Content,1
abreuveraient,1.13,Content,1
abreuvez,1.13,Content,4
abreuvoir,0.35,Content,0
abreuvoirs,0.35,Content,0
abreuvons,1.13,Content,4
abreuvé,1.13,Content,4
abreuvé,0.01,Content,4
abreuvée,1.13,Content,4
abreuvés,1.13,Content,4
abreuvés,0.01,Content,4
abri,25.90,Content,3
abri-refuge,0.00,Content,0
abribus,0.04,Content,0
abricot,0.08,Content,0
abricot,1.24,Content,0
abricotez,0.01,Content,0
abricotier,0.02,Content,0
abricotiers,0.02,Content,0
abricotine,0.00,Content,0
abricots,1.24,Content,0
abris,25.90,Content,3
abrita,7.92,Content,4
abritai,7.92,Content,4
abritaient,7.92,Content,4
abritais,7.92,Content,4
abritait,7.92,Content,4
abritant,0.01,Content,4
abritant,7.92,Content,4
abrite,7.92,Content,0
abritent,7.92,Content,0
abriter,7.92,Content,4
abritera,7.92,Content,2
abriterait,7.92,Content,2
abriterons,7.92,Content,2
abriteront,7.92,Content,2
abrites,7.92,Content,0
abritez,7.92,Content,4
abritiez,7.92,Content,1
abritions,7.92,Content,1
abritons,7.92,Content,4
abritâmes,7.92,Content,0
abritèrent,7.92,Content,0
abrité,7.92,Content,4
abrité,0.17,Content,4
abritée,7.92,Content,4
abritée,0.17,Content,4
abritées,7.92,Content,4
abrités,7.92,Content,4
abrités,0.17,Content,4
abrogation,0.16,Content,0
abrogent,0.71,Content,1
abroger,0.71,Content,1
abrogé,0.71,Content,1
abrogé,0.01,Content,1
abrogée,0.71,Content,1
abrogées,0.71,Content,1
abrogés,0.71,Content,1
abrupt,1.36,Content,0
abrupt,0.00,Content,0
abrupte,1.36,Content,0
abruptement,0.07,Content,0
abruptes,1.36,Content,0
abrupts,1.36,Content,0
abrupts,0.00,Content,0
abruti,6.13,Content,0
abruti,25.64,Content,0
abruti,2.56,Content,0
abrutie,6.13,Content,0
abrutie,25.64,Content,0
abrutie,2.56,Content,0
abruties,6.13,Content,0
abruties,25.64,Content,0
abruties,2.56,Content,0
abrutir,2.56,Content,1
abrutira,2.56,Content,0
abrutis,6.13,Content,0
abrutis,25.64,Content,0
abrutis,2.56,Content,0
abrutissaient,2.56,Content,1
abrutissais,2.56,Content,1
abrutissait,2.56,Content,1
abrutissant,2.56,Content,1
abrutissant,0.19,Content,1
abrutissante,0.19,Content,0
abrutissantes,0.19,Content,0
abrutissants,0.19,Content,1
abrutissement,0.13,Content,0
abrutissent,2.56,Content,1
abrutisseur,0.00,Content,0
abrutissions,2.56,Content,0
abrutit,2.56,Content,0
abrège,4.21,Content,2
abrègent,4.21,Content,2
abrégea,4.21,Content,4
abrégeai,4.21,Content,5
abrégeaient,4.21,Content,5
abrégeait,4.21,Content,5
abrégeant,4.21,Content,4
abrégeons,4.21,Content,4
abréger,4.21,Content,6
abrégera,4.21,Content,1
abrégerai,4.21,Content,1
abrégerait,4.21,Content,1
abrégez,4.21,Content,6
abrégeât,4.21,Content,4
abrégé,4.21,Content,6
abrégé,0.20,Content,6
abrégé,0.12,Content,6
abrégée,4.21,Content,6
abrégée,0.20,Content,6
abrégés,0.20,Content,6
abrégés,0.12,Content,6
abréviatif,0.00,Content,0
abréviation,0.46,Content,0
abréviations,0.46,Content,0
abscisse,0.02,Content,4
abscission,0.00,Content,0
abscons,0.12,Content,0
absconse,0.12,Content,0
absconses,0.12,Content,0
absence,22.86,Content,2
absences,22.86,Content,2
absent,14.91,Content,5
absent,1.96,Content,5
absenta,6.14,Content,3
absentai,6.14,Content,3
absentaient,6.14,Content,3
absentais,6.14,Content,3
absentait,6.14,Content,3
absentant,6.14,Content,4
absente,14.91,Content,3
absente,1.96,Content,3
absente,6.14,Content,3
absenter,6.14,Content,3
absentera,6.14,Content,1
absenterai,6.14,Content,1
absenterait,6.14,Content,1
absentes,14.91,Content,3
absentes,1.96,Content,3
absentes,6.14,Content,3
absents,14.91,Content,5
absents,1.96,Content,5
absentèrent,6.14,Content,0
absenté,6.14,Content,3
absentée,6.14,Content,3
absentéisme,0.14,Content,0
absentéiste,0.01,Content,0
absentéiste,0.01,Content,0
absentés,6.14,Content,3
abside,0.00,Content,1
absides,0.00,Content,1
absidiales,0.00,Content,1
absidiole,0.00,Content,1
absinthant,0.00,Content,1
absinthe,1.28,Content,3
absolu,17.25,Content,0
absolu,0.78,Content,0
absolue,17.25,Content,0
absolues,17.25,Content,0
absolument,89.79,Content,0
absolus,17.25,Content,0
absolus,0.78,Content,0
absolution,1.06,Content,0
absolutisme,0.12,Content,0
absolvaient,2.66,Content,1
absolvait,2.66,Content,1
absolvant,0.00,Content,1
absolve,2.66,Content,0
absolvent,2.66,Content,0
absolves,2.66,Content,0
absorba,6.66,Content,4
absorbables,0.00,Content,0
absorbai,6.66,Content,4
absorbaient,6.66,Content,4
absorbais,6.66,Content,4
absorbait,6.66,Content,4
absorbant,0.14,Content,4
absorbant,0.01,Content,4
absorbant,6.66,Content,4
absorbante,0.14,Content,0
absorbantes,0.14,Content,0
absorbants,0.14,Content,4
absorbe,6.66,Content,0
absorbent,6.66,Content,0
absorber,6.66,Content,4
absorbera,6.66,Content,1
absorberai,6.66,Content,1
absorberaient,6.66,Content,1
absorberait,6.66,Content,1
absorbeur,0.03,Content,1
absorbez,6.66,Content,4
absorbions,6.66,Content,0
absorbons,6.66,Content,4
absorbèrent,6.66,Content,1
absorbé,6.66,Content,4
absorbé,0.28,Content,4
absorbée,6.66,Content,4
absorbée,0.28,Content,4
absorbées,6.66,Content,4
absorbées,0.28,Content,4
absorbés,6.66,Content,4
absorbés,0.28,Content,4
absorption,0.58,Content,0
absorptions,0.58,Content,0
absoudrai,2.66,Content,0
absoudrait,2.66,Content,0
absoudre,2.66,Content,0
absoudriez,2.66,Content,0
absous,2.66,Content,2
absous,0.02,Content,2
absout,2.66,Content,2
absoute,2.66,Content,2
absoute,0.00,Content,2
absoute,0.00,Content,2
absoutes,2.66,Content,2
abstenaient,4.52,Content,4
abstenais,4.52,Content,4
abstenait,4.52,Content,4
abstenant,4.52,Content,5
abstenez,4.52,Content,4
absteniez,4.52,Content,1
abstenions,4.52,Content,1
abstenir,4.52,Content,0
abstenons,4.52,Content,4
abstention,0.14,Content,0
abstentionniste,0.01,Content,1
abstentionnistes,0.01,Content,1
abstenu,4.52,Content,4
abstenue,4.52,Content,4
abstenue,0.01,Content,4
abstenues,4.52,Content,4
abstenus,4.52,Content,4
abstiendrai,4.52,Content,2
abstiendraient,4.52,Content,2
abstiendrais,4.52,Content,2
abstiendrait,4.52,Content,2
abstiendras,4.52,Content,2
abstiendrions,4.52,Content,0
abstiendrons,4.52,Content,2
abstiendront,4.52,Content,2
abstienne,4.52,Content,0
abstiennent,4.52,Content,0
abstiennes,4.52,Content,0
abstiens,4.52,Content,0
abstient,4.52,Content,0
abstinence,1.62,Content,1
abstinences,1.62,Content,1
abstinent,0.11,Content,2
abstinente,0.11,Content,1
abstinrent,4.52,Content,0
abstins,4.52,Content,0
abstint,4.52,Content,0
abstraction,0.68,Content,0
abstractions,0.68,Content,0
abstraire,0.27,Content,1
abstrais,0.27,Content,1
abstrait,0.27,Content,1
abstrait,1.62,Content,1
abstrait,0.49,Content,1
abstraite,0.27,Content,1
abstraite,1.62,Content,1
abstraitement,0.00,Content,0
abstraites,0.27,Content,1
abstraites,1.62,Content,1
abstraits,0.27,Content,1
abstraits,1.62,Content,1
abstraits,0.49,Content,1
abstrus,0.00,Content,2
abstruse,0.00,Content,0
abstruses,0.00,Content,0
abstînt,4.52,Content,0
absurde,23.59,Content,0
absurde,2.69,Content,0
absurdement,0.14,Content,0
absurdes,23.59,Content,0
absurdes,2.69,Content,0
absurdistes,0.00,Content,0
absurdité,2.34,Content,0
absurdités,2.34,Content,0
abus,4.75,Content,11
abusa,20.00,Content,6
abusai,20.00,Content,6
abusaient,20.00,Content,6
abusais,20.00,Content,6
abusait,20.00,Content,6
abusant,20.00,Content,6
abuse,20.00,Content,2
abusent,20.00,Content,2
abuser,20.00,Content,6
abusera,20.00,Content,4
abuserai,20.00,Content,4
abuserais,20.00,Content,4
abuserait,20.00,Content,4
abuserez,20.00,Content,4
abuseriez,20.00,Content,2
abuses,20.00,Content,2
abuseur,0.04,Content,2
abusez,20.00,Content,6
abusiez,20.00,Content,3
abusif,0.85,Content,2
abusifs,0.85,Content,2
abusive,0.85,Content,2
abusivement,0.16,Content,1
abusives,0.85,Content,2
abusons,20.00,Content,6
abusèrent,20.00,Content,3
abusé,20.00,Content,6
abusé,0.20,Content,6
abusée,20.00,Content,6
abusée,0.20,Content,6
abusées,20.00,Content,6
abusées,0.20,Content,6
abusés,20.00,Content,6
abusés,0.20,Content,6
abyme,0.04,Content,9
abyssal,0.11,Content,0
abyssale,0.11,Content,0
abyssales,0.11,Content,0
abysse,1.07,Content,11
abysses,1.07,Content,11
abyssin,0.00,Content,0
abyssin,0.14,Content,0
abyssinien,0.10,Content,0
abyssinienne,0.01,Content,0
abyssins,0.00,Content,0
abâtardi,0.14,Content,0
abâtardie,0.01,Content,0
abâtardies,0.14,Content,0
abâtardir,0.14,Content,0
abâtardirai,0.14,Content,0
abâtardissant,0.14,Content,0
abécédaire,0.18,Content,0
abêti,0.00,Content,3
abêti,0.01,Content,3
abêties,0.00,Content,3
abêtir,0.01,Content,2
abêtis,0.00,Content,3
abêtis,0.01,Content,3
abêtissait,0.01,Content,1
abêtissement,0.00,Content,1
abêtit,0.01,Content,3
abîma,15.83,Content,8
abîmai,15.83,Content,8
abîmaient,15.83,Content,8
abîmait,15.83,Content,8
abîmant,15.83,Content,9
abîme,6.01,Content,9
abîme,15.83,Content,9
abîment,15.83,Content,9
abîmer,15.83,Content,8
abîmera,15.83,Content,5
abîmerai,15.83,Content,6
abîmerais,15.83,Content,6
abîmerait,15.83,Content,6
abîmeras,15.83,Content,5
abîmerez,15.83,Content,5
abîmeront,15.83,Content,5
abîmes,6.01,Content,9
abîmes,15.83,Content,9
abîmez,15.83,Content,8
abîmions,15.83,Content,2
abîmons,15.83,Content,6
abîmé,15.83,Content,8
abîmée,15.83,Content,8
abîmées,15.83,Content,8
abîmés,15.83,Content,8
acabit,0.17,Content,1
acabits,0.17,Content,1
acacia,0.26,Content,0
acacias,0.26,Content,0
acadien,0.01,Content,1
acadien,0.16,Content,1
acadienne,0.03,Content,0
acadiens,0.16,Content,1
académicien,0.35,Content,0
académiciens,0.35,Content,0
académie,10.03,Content,0
académies,10.03,Content,0
académique,1.41,Content,0
académiquement,0.01,Content,0
académiques,1.41,Content,0
académisme,0.00,Content,1
académisé,0.00,Content,1
acagnardai,0.00,Content,1
acagnardait,0.00,Content,1
acagnarder,0.00,Content,1
acagnardé,0.00,Content,1
acagnardée,0.00,Content,1
acajou,0.17,Content,0
acajou,0.52,Content,0
acajous,0.52,Content,0
acanthe,0.04,Content,7
acanthes,0.04,Content,7
acariens,0.07,Content,1
acariâtre,0.14,Content,0
acariâtres,0.14,Content,0
accabla,5.55,Content,4
accablai,5.55,Content,4
accablaient,5.55,Content,4
accablais,5.55,Content,4
accablait,5.55,Content,4
accablant,1.41,Content,4
accablant,5.55,Content,4
accablante,1.41,Content,0
accablantes,1.41,Content,0
accablants,1.41,Content,4
accable,5.55,Content,4
accablement,0.23,Content,1
accablements,0.23,Content,1
accablent,5.55,Content,4
accabler,5.55,Content,4
accableraient,5.55,Content,0
accablez,5.55,Content,4
accablions,5.55,Content,1
accablât,5.55,Content,4
accablèrent,5.55,Content,1
accablé,5.55,Content,4
accablé,0.53,Content,4
accablée,5.55,Content,4
accablée,0.53,Content,4
accablées,5.55,Content,4
accablées,0.53,Content,4
accablés,5.55,Content,4
accablés,0.53,Content,4
accalmie,0.50,Content,0
accalmies,0.50,Content,0
accalmit,0.00,Content,0
accapara,0.97,Content,3
accaparaient,0.97,Content,3
accaparait,0.97,Content,3
accaparant,0.02,Content,3
accaparant,0.97,Content,3
accaparante,0.02,Content,0
accapare,0.97,Content,0
accaparer,0.97,Content,3
accaparerait,0.97,Content,0
accapareur,0.02,Content,0
accaparez,0.97,Content,3
accaparé,0.97,Content,3
accaparée,0.97,Content,3
accaparées,0.97,Content,3
accaparés,0.97,Content,3
accastillage,0.04,Content,0
accastillages,0.04,Content,0
accelerando,0.00,Content,0
accent,14.56,Content,5
accenteur,0.01,Content,0
accents,14.56,Content,5
accentua,1.28,Content,3
accentuai,1.28,Content,3
accentuaient,1.28,Content,3
accentuais,1.28,Content,3
accentuait,1.28,Content,3
accentuant,1.28,Content,3
accentuation,0.06,Content,0
accentue,1.28,Content,0
accentuent,1.28,Content,0
accentuer,1.28,Content,4
accentuerait,1.28,Content,0
accentuez,1.28,Content,1
accentuât,1.28,Content,3
accentuèrent,1.28,Content,0
accentué,1.28,Content,4
accentué,0.02,Content,4
accentuée,1.28,Content,4
accentuée,0.02,Content,4
accentuées,1.28,Content,4
accentuées,0.02,Content,4
accentués,1.28,Content,4
accentués,0.02,Content,4
accepta,165.84,Content,4
acceptable,3.96,Content,0
acceptables,3.96,Content,0
acceptai,165.84,Content,5
acceptaient,165.84,Content,5
acceptais,165.84,Content,5
acceptait,165.84,Content,5
acceptant,0.04,Content,5
acceptant,165.84,Content,5
acceptassent,165.84,Content,1
acceptasses,165.84,Content,1
acceptation,1.24,Content,0
acceptations,1.24,Content,0
accepte,165.84,Content,1
acceptent,165.84,Content,1
accepter,165.84,Content,5
acceptera,165.84,Content,3
accepterai,165.84,Content,3
accepteraient,165.84,Content,3
accepterais,165.84,Content,3
accepterait,165.84,Content,3
accepteras,165.84,Content,3
accepterez,165.84,Content,3
accepteriez,165.84,Content,1
accepterions,165.84,Content,1
accepterons,165.84,Content,3
accepteront,165.84,Content,3
acceptes,165.84,Content,1
acceptez,165.84,Content,5
acceptiez,165.84,Content,1
acception,0.15,Content,3
acceptions,0.15,Content,3
acceptions,165.84,Content,3
acceptons,165.84,Content,4
acceptâmes,165.84,Content,1
acceptât,165.84,Content,4
acceptèrent,165.84,Content,0
accepté,165.84,Content,5
acceptée,165.84,Content,5
acceptées,165.84,Content,5
acceptés,165.84,Content,5
accesseurs,0.00,Content,0
accessibilité,0.03,Content,0
accessible,2.06,Content,0
accessibles,2.06,Content,0
accession,0.16,Content,0
accessit,0.02,Content,0
accessoire,0.74,Content,0
accessoire,3.87,Content,0
accessoirement,0.17,Content,0
accessoires,0.74,Content,0
accessoires,3.87,Content,0
accessoirise,0.07,Content,0
accessoiriser,0.07,Content,0
accessoiriste,0.62,Content,0
accessoiristes,0.62,Content,0
accident,108.21,Content,2
accidente,0.19,Content,0
accidentel,2.78,Content,0
accidentelle,2.78,Content,0
accidentellement,3.39,Content,0
accidentelles,2.78,Content,0
accidentels,2.78,Content,0
accidenter,0.19,Content,0
accidents,108.21,Content,2
accidenté,0.19,Content,0
accidenté,0.30,Content,0
accidenté,0.57,Content,0
accidentée,0.19,Content,0
accidentée,0.30,Content,0
accidentée,0.57,Content,0
accidentées,0.30,Content,0
accidentés,0.30,Content,0
accidentés,0.57,Content,0
acclama,1.75,Content,4
acclamaient,1.75,Content,4
acclamait,1.75,Content,4
acclamant,1.75,Content,4
acclamation,2.84,Content,0
acclamations,2.84,Content,0
